,Age_AtReg,Disability,Gender,CitizenStatus,EducationLevel,Race_Hispanic,Race_NativeAmerican,Race_Asian,Race_AfricanAmerican,Race_PacificIslander,Race_White,Employed
0,40,0,1,1,11,0,0,0,0,0,0,1
1,40,0,1,1,11,0,0,0,0,0,0,1
2,50,0,1,1,14,0,0,0,1,0,0,0
3,50,0,1,1,14,0,0,0,1,0,0,0
4,53,0,1,1,14,0,0,0,1,0,0,0
5,53,0,1,1,14,0,0,0,1,0,0,0
6,53,0,1,1,14,0,0,0,1,0,0,0
7,54,0,1,1,18,0,0,0,1,0,0,1
8,54,0,1,1,18,0,0,0,1,0,0,1
9,43,1,1,1,17,0,0,0,1,0,0,0
10,45,0,1,1,14,0,0,0,1,0,0,1
11,45,0,1,1,14,0,0,0,1,0,0,1
12,46,0,1,1,16,0,0,0,1,0,0,0
13,34,0,1,1,14,0,0,0,1,0,0,0
14,57,0,1,1,21,0,0,0,1,0,0,0
15,52,0,1,1,16,0,0,0,1,0,0,1
16,44,0,1,1,12,0,0,0,1,0,0,0
17,41,0,2,1,20,0,0,0,1,0,0,0
18,41,0,2,1,20,0,0,0,1,0,0,0
19,41,0,2,1,20,0,0,0,1,0,0,0
20,41,0,2,1,20,0,0,0,1,0,0,0
21,53,1,1,1,14,0,0,0,1,0,0,0
22,42,0,1,1,14,0,0,0,1,0,0,0
23,42,0,1,1,14,0,0,0,1,0,0,0
24,34,0,1,1,10,0,0,0,1,0,0,0
25,61,0,1,1,19,0,0,0,0,0,0,0
26,53,0,2,1,15,0,0,0,1,0,0,0
27,53,0,2,1,15,0,0,0,1,0,0,0
28,54,0,1,1,14,0,0,0,0,0,0,0
29,54,0,1,1,14,0,0,0,0,0,0,0
30,53,0,1,1,13,0,0,0,1,0,0,0
31,53,0,1,1,13,0,0,0,1,0,0,0
32,52,0,1,1,15,0,0,0,1,0,0,0
33,52,0,1,1,15,0,0,0,1,0,0,0
34,52,0,1,1,15,0,0,0,1,0,0,0
35,52,0,1,1,15,0,0,0,1,0,0,1
36,52,0,1,1,15,0,0,0,1,0,0,1
37,49,0,2,1,18,0,0,0,1,0,0,0
38,54,0,1,1,16,0,0,0,1,0,0,0
39,54,0,1,1,16,0,0,0,1,0,0,0
40,51,0,1,1,14,0,0,0,1,0,0,1
41,51,0,1,1,14,0,0,0,1,0,0,1
42,52,0,1,1,13,0,0,0,1,0,0,1
43,52,0,1,1,13,0,0,0,1,0,0,1
44,56,0,1,1,16,0,0,0,1,0,0,1
45,60,0,1,1,16,0,0,0,1,0,0,1
46,35,0,1,1,14,0,0,0,1,0,0,0
47,40,0,2,1,12,0,0,0,1,0,0,0
48,37,0,2,1,14,0,0,0,1,0,0,1
49,31,0,1,1,14,0,0,0,0,0,0,0
50,38,0,1,1,18,0,0,0,0,0,0,0
51,54,0,1,1,18,0,0,0,1,0,0,0
52,50,0,1,1,14,0,0,0,0,0,0,0
53,47,0,1,1,6,0,0,0,0,0,0,1
